"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","CS","GA","Sv","YC","PKS","KP","Int","CLR","AER"
"*04u6n*","Sergio Rico","FUL","G","12","FA","NEW 4<br/>@FUL 0 F","26.5","26.5","0%","0%","1","1","0","8","0","0","0","0","2","2"
"*02w72*","Hugo Lloris","TOT","G","4","Willy B","EVE 2<br/>@TOT 2 F","23.25","11.62","0%","0%","2","1","1","7","0","0","0","0","5","2"
"*02lym*","Lukasz Fabianski","WHU","G","2","Noah B","WHU 4<br/>@WAT 1 F","22","22","0%","0%","1","1","0","4","0","0","1","0","0","0"
"*04fk5*","Ederson","MCI","G","6","Woot","MCI 4<br/>@BHA 1 F","18.25","9.12","11%","0%","2","2","0","1","0","0","0","0","1","0"
"*03dxv*","Kasper Schmeichel","LEI","G","13","Ryan R","CHE 0<br/>@LEI 0 F","16","16","0%","0%","1","1","0","1","0","0","1","0","0","0"
"*04rhc*","Vicente Guaita","CRY","G","16","FA","BOU 3<br/>@CRY 5 F","14.25","14.25","0%","0%","1","1","0","3","0","0","0","0","1","0"
"*04sjt*","Alisson","LIV","G","1","Blake R","WOL 0<br/>@LIV 2 F","10","10","56%","-2%","1","1","0","1","0","0","0","0","0","0"
"*032f9*","Jordan Pickford","EVE","G","7","Tim O","EVE 2<br/>@TOT 2 F","8.25","8.25","95%","+1%","1","1","0","0","0","0","0","0","1","0"
"*03dwz*","Tom Heaton","BUR","G","20","Alex R","ARS 3<br/>@BUR 1 F","8.25","8.25","0%","0%","1","0","1","5","0","0","0","0","1","0"
"*04qor*","Bernd Leno","ARS","G","11","BUK","ARS 3<br/>@BUR 1 F","7.75","3.88","58%","+7%","2","0","6","9","0","0","0","1","3","0"
"*04fjy*","Mat Ryan","BHA","G","17","FA","MCI 4<br/>@BHA 1 F","4.75","2.38","0%","0%","2","0","2","4","0","0","0","0","3","0"
"*04u40*","Kepa","CHE","G","8","BUK","CHE 0<br/>@LEI 0 F","4","4","3%","0%","1","0","1","3","0","0","0","0","0","0"
"*02ln1*","David de Gea","MUN","G","10","Ryan C","CAR 2<br/>@MUN 0 F","4","2","0%","0%","2","0","3","5","0","0","0","0","0","0"
"*044i7*","Angus Gunn","SOU","G","24","FA","HUD 1<br/>@SOU 1 F","3.25","1.62","0%","0%","2","0","4","5","0","0","0","0","1","1"
"*02m4i*","Ben Foster","WAT","G","5","Connor L","WHU 4<br/>@WAT 1 F","2.75","1.38","0%","0%","2","0","3","4","0","0","0","0","3","0"
"*02xc9*","Artur Boruc","BOU","G","23","FA","BOU 3<br/>@CRY 5 F","2","2","0%","0%","1","0","3","4","0","0","0","0","0","0"
"*04mr4*","Martin Dubravka","NEW","G","9","FA","NEW 4<br/>@FUL 0 F","1.5","1.5","29%","-2%","1","0","1","1","0","0","0","0","2","1"
"*02lsh*","Neil Etheridge","CAR","G","3","Connor L","CAR 2<br/>@MUN 0 F","0.5","0.5","0%","0%","1","0","1","1","0","0","0","0","2","0"
"*045ob*","Caoimhin Kelleher","LIV","G","52","FA","WOL 0<br/>@LIV 2 F","0","0","91%","0%","0","0","0","0","0","0","0","0","0","0"
"*044ei*","Nick Pope","BUR","G","63","FA","ARS 3<br/>@BUR 1 F","0","0","70%","+4%","0","0","0","0","0","0","0","0","0","0"
"*04yme*","Robert Sanchez","BHA","G","66","FA","MCI 4<br/>@BHA 1 F","0","0","61%","-11%","0","0","0","0","0","0","0","0","0","0"
"*03pif*","Karl Darlow","NEW","G","43","FA","NEW 4<br/>@FUL 0 F","0","0","18%","-12%","0","0","0","0","0","0","0","0","0","0"
"*03m5i*","Freddie Woodman","NEW","G","73","FA","NEW 4<br/>@FUL 0 F","0","0","6%","-5%","0","0","0","0","0","0","0","0","0","0"
"*04ym7*","Lucas Perri","CRY","G","62","FA","BOU 3<br/>@CRY 5 F","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0"
"*04rha*","Jason Steele","BHA","G","68","FA","MCI 4<br/>@BHA 1 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*04vy4*","Mark Travers","BOU","G","30","FA","BOU 3<br/>@CRY 5 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*02ls8*","Marcus Bettinelli","FUL","G","33","FA","NEW 4<br/>@FUL 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02m3v*","John Ruddy","WOL","G","31","FA","WOL 0<br/>@LIV 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02ltw*","Fraser Forster","SOU","G","37","FA","HUD 1<br/>@SOU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04t3o*","Fabri","FUL","G","29","FA","NEW 4<br/>@FUL 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02lw2*","Asmir Begovic","BOU","G","22","Willy B","BOU 3<br/>@CRY 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0477f*","Claudio Bravo","MCI","G","39","FA","MCI 4<br/>@BHA 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04h3q*","Marcin Bulka","CHE","G","40","FA","CHE 0<br/>@LEI 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02t13*","David Button","BHA","G","26","FA","MCI 4<br/>@BHA 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03et4*","Willy Caballero","CHE","G","28","FA","CHE 0<br/>@LEI 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02m7c*","Petr Cech","ARS","G","25","FA","ARS 3<br/>@BUR 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04f5w*","Joel Coleman","HUD","G","36","FA","HUD 1<br/>@SOU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02ltu*","Robert Elliot","NEW","G","44","FA","NEW 4<br/>@FUL 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02t1m*","Paulo Gazzaniga","TOT","G","27","FA","EVE 2<br/>@TOT 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*047l3*","Lee Grant","MUN","G","45","FA","CAR 2<br/>@MUN 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04gw8*","Daniel Grimshaw","MCI","G","47","FA","MCI 4<br/>@BHA 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03ek8*","Ben Hamer","HUD","G","34","FA","HUD 1<br/>@SOU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02lv2*","Joe Hart","BUR","G","18","John L","ARS 3<br/>@BUR 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02m1g*","Wayne Hennessey","CRY","G","21","FA","BOU 3<br/>@CRY 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0328y*","Eldin Jakupovic","LEI","G","51","FA","CHE 0<br/>@LEI 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04ufy*","Matej Kovar","MUN","G","53","FA","CAR 2<br/>@MUN 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0452n*","Harry Lewis","SOU","G","55","FA","HUD 1<br/>@SOU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02lnh*","Anders Lindegaard","BUR","G","56","FA","ARS 3<br/>@BUR 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02t20*","Alex McCarthy","SOU","G","19","FA","HUD 1<br/>@SOU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02m5w*","Simon Mignolet","LIV","G","57","FA","WOL 0<br/>@LIV 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04gw6*","Arijanet Muric","MCI","G","58","FA","MCI 4<br/>@BHA 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02lxq*","Brian Murphy","CAR","G","59","FA","CAR 2<br/>@MUN 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04tsc*","Joao Virginia","EVE","G","60","FA","EVE 2<br/>@TOT 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04qqx*","Will Norris","WOL","G","61","FA","WOL 0<br/>@LIV 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03sgd*","Sergio Romero","MUN","G","64","FA","CAR 2<br/>@MUN 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03274*","Adrian","WHU","G","65","FA","WHU 4<br/>@WAT 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0329x*","Julian Speroni","CRY","G","35","FA","BOU 3<br/>@CRY 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0329d*","Maarten Stekelenburg","EVE","G","69","FA","EVE 2<br/>@TOT 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02m31*","Michel Vorm","TOT","G","32","FA","EVE 2<br/>@TOT 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02t1a*","Danny Ward","LEI","G","71","FA","CHE 0<br/>@LEI 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*048xn*","Alfie Whiteman","TOT","G","72","FA","EVE 2<br/>@TOT 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02loi*","Heurelho Gomes","WAT","G","74","FA","WHU 4<br/>@WAT 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04ufz*","Luca Ashby-Hammond","FUL","G","38","FA","NEW 4<br/>@FUL 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04ybh*","Jamie Cumming","CHE","G","41","FA","CHE 0<br/>@LEI 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04rf2*","Pontus Dahlberg","WAT","G","42","FA","WHU 4<br/>@WAT 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*02onx*","Robert Green","CHE","G","46","FA","CHE 0<br/>@LEI 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04yjq*","Nathan Harker","NEW","G","48","FA","NEW 4<br/>@FUL 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*049tp*","Mateusz Hewelt","EVE","G","49","FA","EVE 2<br/>@TOT 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*03m3p*","Dejan Iliev","ARS","G","50","FA","ARS 3<br/>@BUR 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04io2*","Adam Legzdins","BUR","G","54","FA","ARS 3<br/>@BUR 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04rcz*","Alex Smithies","CAR","G","67","FA","CAR 2<br/>@MUN 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04yl8*","Joe Tupper","CRY","G","70","FA","BOU 3<br/>@CRY 5 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04rzm*","Rui Patricio","WOL","G","14","Laeka B","WOL 0<br/>@LIV 2 F","-3.75","-1.88","0%","0%","2","0","2","0","0","0","0","0","1","0"
"*04fk4*","Jonas Lossl","HUD","G","15","FA","HUD 1<br/>@SOU 1 F","-6","-6","0%","0%","1","0","5","2","0","0","0","0","0","0"
