"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","CS","GA","Sv","YC","RC","PKS","PKM","TkW","DIS","G","A","KP","AFKG","APKG","Int","CLR","AER","AC","OG","SOT"
"*033l8*","Simon Moore","SHU","G","58","FA","BUR 0<br/>@SHU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rbn*","Thomas McGill","BHA","G","57","FA","BHA 0<br/>@ARS 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rc7*","Harry Tyrer","EVE","G","70","FA","EVE 0<br/>@MCI 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04t3o*","Fabri","FUL","G","37","FA","NEW 2<br/>@FUL 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rfp*","Harvey Davies","LIV","G","40","FA","CRY 0<br/>@LIV 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*047l3*","Lee Grant","MUN","G","43","FA","MUN 2<br/>@WOL 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lv2*","Joe Hart","TOT","G","44","FA","TOT 4<br/>@LEI 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02m1g*","Wayne Hennessey","CRY","G","48","FA","CRY 0<br/>@LIV 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0328y*","Eldin Jakupovic","LEI","G","51","FA","TOT 4<br/>@LEI 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0452n*","Harry Lewis","SOU","G","54","FA","SOU 0<br/>@WHU 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*054oz*","Andy Lonergan","LIV/WBA","G","55","FA","WBA 1<br/>@LEE 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05246*","David Martin","WHU","G","56","FA","SOU 0<br/>@WHU 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03sgd*","Sergio Romero","MUN","G","62","FA","MUN 2<br/>@WOL 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*056pe*","Andreas Sondergaard","WOL","G","63","FA","MUN 2<br/>@WOL 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02m3y*","Jed Steer","AVL","G","65","FA","CHE 1<br/>@AVL 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05lfs*","Zack Steffen","MCI","G","66","FA","EVE 0<br/>@MCI 5 F","0","0","0%","0%","1","90","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05o6x*","Jakub Stolarczyk","LEI","G","67","FA","TOT 4<br/>@LEI 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04fjz*","Christian Walton","BHA","G","71","FA","BHA 0<br/>@ARS 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02t1a*","Danny Ward","LEI","G","72","FA","TOT 4<br/>@LEI 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*048xn*","Alfie Whiteman","TOT","G","73","FA","TOT 4<br/>@LEI 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
